LDA n components:,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Silhouette Score,Davies-Bouldin Index,Adjusted Rand Index (ARI),Normalized Mutual Information (NMI)
50,0.9130434782608697,0.9134024092010901,0.912948216986457,0.9129770077454085,0.13354097797175016,2.4132980093971166,0.6826325297139443,0.5770236525783604
51,0.91256038647343,0.9129226554279368,0.9124742833371677,0.9124947759429537,0.1309995549549796,2.446510482017439,0.6809808780184646,0.5753078692724423
52,0.9115942028985508,0.9119039680950923,0.9115262243867723,0.9115328804021123,0.12863351726387146,2.4769615592665004,0.677892743386806,0.5721301619368655
53,0.91256038647343,0.9128494225926446,0.9124888464439639,0.912501878425758,0.12630742008504192,2.5112191171600067,0.6810088243999036,0.5751406062069647
54,0.8362318840579711,0.7862954091003044,0.835687128744188,0.8025731559700665,0.10161055626990034,1.9894492593870055,0.5632916333047894,0.47893971110842876
55,0.9130434782608697,0.9133543452710544,0.9129674477556875,0.912983788171927,0.12190602124654897,2.5692653393525022,0.6827447231300302,0.5771511805180121
56,0.9135265700483093,0.9138478373238652,0.9134482169864568,0.9134657325199441,0.11990498252255792,2.5991660260801233,0.6842373175062197,0.5785979429213748
57,0.9130434782608697,0.9133543452710544,0.9129674477556875,0.912983788171927,0.11770620638391656,2.628964352850187,0.6827447231300302,0.5771511805180121
58,0.9130434782608697,0.9134024092010901,0.912948216986457,0.9129770077454085,0.11587175945049544,2.657755166777567,0.6826325297139443,0.5770236525783605
59,0.9130434782608697,0.9134024092010901,0.912948216986457,0.9129770077454085,0.11398328212939528,2.686642523572584,0.6826325297139443,0.5770236525783604
60,0.9130434782608697,0.9133265724693256,0.9129809272668308,0.9129855752356016,0.11221932244731599,2.7181637677702475,0.6826324233645064,0.5768602275764242
61,0.9120772946859903,0.912397460147903,0.9120069936175416,0.9120148247501294,0.11042691873259676,2.7463708903532043,0.6793853377629956,0.5735769243402282
62,0.9130434782608697,0.9133265724693256,0.9129809272668308,0.9129855752356016,0.10855793471097057,2.777961408676675,0.6826324233645064,0.5768602275764242
63,0.9130434782608695,0.9132995042208816,0.9130069936175417,0.9129914297750172,0.10696467503358156,2.808930267543952,0.6825855695466814,0.5767423231660852
64,0.9130434782608695,0.9132995042208816,0.9130069936175417,0.9129914297750172,0.10534373146739706,2.838511147352482,0.6825855695466814,0.5767423231660853
65,0.9115942028985508,0.9119011701125685,0.911507547198623,0.9115307824796339,0.10328948813612071,2.865941521973014,0.677892764669245,0.5720515715033408
66,0.9140096618357489,0.9142353282229017,0.9139809272668307,0.9139613329925123,0.10215822520293123,2.8981398456752534,0.6858513828251857,0.5800879894113009
67,0.9130434782608697,0.9133097975976006,0.9129954903736268,0.9129890105802181,0.10059108461254378,2.9284739001148328,0.682744700644362,0.5770637563445647
